data;zona;nome stazione;inquinante;valore
07/01/2025;Nord;via Pascal;C6H6;1.4
07/01/2025;Nord;via Pascal;NO2;28
07/01/2025;Nord;via Pascal;O3;22
07/01/2025;Nord;via Pascal;PM10;40
07/01/2025;Nord;via Pascal;PM25;26
07/01/2025;Nord;via Pascal;SO2;5
07/01/2025;Centro;viale Liguria;NO2;40
07/01/2025;Est;viale Marche;C6H6;1.5
07/01/2025;Est;viale Marche;CO_8h;0.9
07/01/2025;Est;viale Marche;NO2;35
07/01/2025;Est;viale Marche;PM10;44
07/01/2025;Est;viale Marche;PM25;37
07/01/2025;Sud-Ovest;via Senato;C6H6;1.7
07/01/2025;Sud-Ovest;via Senato;CO_8h;0.5
07/01/2025;Sud-Ovest;via Senato;NO2;0
07/01/2025;Sud-Ovest;via Senato;PM10;35
07/01/2025;Sud-Ovest;via Senato;PM25;29
07/01/2025;Centro;Verziere;NO2;45
07/01/2025;Centro;Verziere;O3;18
07/01/2025;Centro;Verziere;PM10;40
08/01/2025;Nord;via Pascal;C6H6;0
08/01/2025;Nord;via Pascal;NO2;27
08/01/2025;Nord;via Pascal;O3;21
08/01/2025;Nord;via Pascal;PM10;24
08/01/2025;Nord;via Pascal;PM25;18
08/01/2025;Nord;via Pascal;SO2;5
08/01/2025;Centro;viale Liguria;NO2;43
08/01/2025;Est;viale Marche;C6H6;1.6
08/01/2025;Est;viale Marche;CO_8h;1
08/01/2025;Est;viale Marche;NO2;46
08/01/2025;Est;viale Marche;PM10;30
08/01/2025;Est;viale Marche;PM25;25
08/01/2025;Sud-Ovest;via Senato;C6H6;2.8
08/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
08/01/2025;Sud-Ovest;via Senato;NO2;0
08/01/2025;Sud-Ovest;via Senato;PM10;28
08/01/2025;Sud-Ovest;via Senato;PM25;21
08/01/2025;Centro;Verziere;NO2;45
08/01/2025;Centro;Verziere;O3;17
08/01/2025;Centro;Verziere;PM10;28
09/01/2025;Nord;via Pascal;C6H6;0
09/01/2025;Nord;via Pascal;NO2;25
09/01/2025;Nord;via Pascal;O3;13
09/01/2025;Nord;via Pascal;PM10;36
09/01/2025;Nord;via Pascal;PM25;26
09/01/2025;Nord;via Pascal;SO2;6
09/01/2025;Centro;viale Liguria;NO2;44
09/01/2025;Est;viale Marche;C6H6;2
09/01/2025;Est;viale Marche;CO_8h;0.8
09/01/2025;Est;viale Marche;NO2;36
09/01/2025;Est;viale Marche;PM10;39
09/01/2025;Est;viale Marche;PM25;32
09/01/2025;Sud-Ovest;via Senato;C6H6;2.8
09/01/2025;Sud-Ovest;via Senato;CO_8h;0.8
09/01/2025;Sud-Ovest;via Senato;NO2;0
09/01/2025;Sud-Ovest;via Senato;PM10;34
09/01/2025;Sud-Ovest;via Senato;PM25;26
09/01/2025;Centro;Verziere;NO2;48
09/01/2025;Centro;Verziere;O3;9
09/01/2025;Centro;Verziere;PM10;36
10/01/2025;Nord;via Pascal;C6H6;2
10/01/2025;Nord;via Pascal;NO2;0
10/01/2025;Nord;via Pascal;O3;4
10/01/2025;Nord;via Pascal;PM10;17
10/01/2025;Nord;via Pascal;PM25;15
10/01/2025;Nord;via Pascal;SO2;2.5
10/01/2025;Centro;viale Liguria;NO2;42
10/01/2025;Est;viale Marche;C6H6;2
10/01/2025;Est;viale Marche;CO_8h;0.8
10/01/2025;Est;viale Marche;NO2;38
10/01/2025;Est;viale Marche;PM10;20
10/01/2025;Est;viale Marche;PM25;16
10/01/2025;Sud-Ovest;via Senato;C6H6;3
10/01/2025;Sud-Ovest;via Senato;CO_8h;0.8
10/01/2025;Sud-Ovest;via Senato;NO2;0
10/01/2025;Sud-Ovest;via Senato;PM10;18
10/01/2025;Sud-Ovest;via Senato;PM25;16
10/01/2025;Centro;Verziere;NO2;49
10/01/2025;Centro;Verziere;O3;3
10/01/2025;Centro;Verziere;PM10;16
13/01/2025;Nord;via Pascal;C6H6;1.8
13/01/2025;Nord;via Pascal;NO2;71
13/01/2025;Nord;via Pascal;O3;48
13/01/2025;Nord;via Pascal;PM10;30
13/01/2025;Nord;via Pascal;PM25;23
13/01/2025;Nord;via Pascal;SO2;2.5
13/01/2025;Centro;viale Liguria;NO2;96
13/01/2025;Est;viale Marche;C6H6;2
13/01/2025;Est;viale Marche;CO_8h;1.7
13/01/2025;Est;viale Marche;NO2;66
13/01/2025;Est;viale Marche;PM10;39
13/01/2025;Est;viale Marche;PM25;25
13/01/2025;Sud-Ovest;via Senato;C6H6;2.2
13/01/2025;Sud-Ovest;via Senato;CO_8h;0.8
13/01/2025;Sud-Ovest;via Senato;NO2;78
13/01/2025;Sud-Ovest;via Senato;PM10;29
13/01/2025;Sud-Ovest;via Senato;PM25;21
13/01/2025;Centro;Verziere;NO2;75
13/01/2025;Centro;Verziere;O3;52
13/01/2025;Centro;Verziere;PM10;27
14/01/2025;Nord;via Pascal;C6H6;2.1
14/01/2025;Nord;via Pascal;NO2;69
14/01/2025;Nord;via Pascal;O3;38
14/01/2025;Nord;via Pascal;PM10;37
14/01/2025;Nord;via Pascal;PM25;26
14/01/2025;Nord;via Pascal;SO2;6
14/01/2025;Centro;viale Liguria;NO2;82
14/01/2025;Est;viale Marche;C6H6;2.5
14/01/2025;Est;viale Marche;CO_8h;1.3
14/01/2025;Est;viale Marche;NO2;68
14/01/2025;Est;viale Marche;PM10;50
14/01/2025;Est;viale Marche;PM25;29
14/01/2025;Sud-Ovest;via Senato;C6H6;2.9
14/01/2025;Sud-Ovest;via Senato;CO_8h;1.1
