data;zona;ospedale;diagnosi;numero_ricoveri
07/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;7
07/01/2025 00:00;Nord;Ospedale Niguarda;trauma;1
07/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;3
07/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;0
07/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;34
07/01/2025 00:00;Est;Policlinico di Milano;altre cause;3
07/01/2025 00:00;Est;Policlinico di Milano;trauma;0
07/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;5
07/01/2025 00:00;Est;Policlinico di Milano;infezioni;1
07/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;37
07/01/2025 00:00;Est;San Raffaele;altre cause;8
07/01/2025 00:00;Est;San Raffaele;trauma;2
07/01/2025 00:00;Est;San Raffaele;cardiopatie;2
07/01/2025 00:00;Est;San Raffaele;infezioni;1
07/01/2025 00:00;Est;San Raffaele;problemi respiratori;39
07/01/2025 00:00;Centro;Humanitas;altre cause;2
07/01/2025 00:00;Centro;Humanitas;trauma;3
07/01/2025 00:00;Centro;Humanitas;cardiopatie;2
07/01/2025 00:00;Centro;Humanitas;infezioni;6
07/01/2025 00:00;Centro;Humanitas;problemi respiratori;17
07/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;6
07/01/2025 00:00;Sud-Ovest;San Paolo;trauma;2
07/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;2
07/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;4
07/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;33
07/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;12
07/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;4
07/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;4
07/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;2
07/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;36
07/01/2025 00:00;Centro;Galeazzi;altre cause;9
07/01/2025 00:00;Centro;Galeazzi;trauma;0
07/01/2025 00:00;Centro;Galeazzi;cardiopatie;5
07/01/2025 00:00;Centro;Galeazzi;infezioni;6
07/01/2025 00:00;Centro;Galeazzi;problemi respiratori;18
07/01/2025 00:00;Nord;Buzzi;altre cause;4
07/01/2025 00:00;Nord;Buzzi;trauma;4
07/01/2025 00:00;Nord;Buzzi;cardiopatie;1
07/01/2025 00:00;Nord;Buzzi;infezioni;2
07/01/2025 00:00;Nord;Buzzi;problemi respiratori;32
07/01/2025 00:00;Nord;Sacco;altre cause;14
07/01/2025 00:00;Nord;Sacco;trauma;5
07/01/2025 00:00;Nord;Sacco;cardiopatie;3
07/01/2025 00:00;Nord;Sacco;infezioni;3
07/01/2025 00:00;Nord;Sacco;problemi respiratori;31
07/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;9
07/01/2025 00:00;Nord;Istituto dei Tumori;trauma;6
07/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;5
07/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;1
07/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;32
08/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;8
08/01/2025 00:00;Nord;Ospedale Niguarda;trauma;3
08/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;1
08/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;4
08/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;23
08/01/2025 00:00;Est;Policlinico di Milano;altre cause;3
08/01/2025 00:00;Est;Policlinico di Milano;trauma;1
08/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;4
08/01/2025 00:00;Est;Policlinico di Milano;infezioni;2
08/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;31
08/01/2025 00:00;Est;San Raffaele;altre cause;9
08/01/2025 00:00;Est;San Raffaele;trauma;2
08/01/2025 00:00;Est;San Raffaele;cardiopatie;1
08/01/2025 00:00;Est;San Raffaele;infezioni;1
08/01/2025 00:00;Est;San Raffaele;problemi respiratori;31
08/01/2025 00:00;Centro;Humanitas;altre cause;0
08/01/2025 00:00;Centro;Humanitas;trauma;1
08/01/2025 00:00;Centro;Humanitas;cardiopatie;2
08/01/2025 00:00;Centro;Humanitas;infezioni;7
08/01/2025 00:00;Centro;Humanitas;problemi respiratori;17
08/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;10
08/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
08/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;6
08/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;3
08/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;26
08/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;14
08/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;1
08/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;0
08/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;1
08/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;25
08/01/2025 00:00;Centro;Galeazzi;altre cause;8
08/01/2025 00:00;Centro;Galeazzi;trauma;2
08/01/2025 00:00;Centro;Galeazzi;cardiopatie;1
08/01/2025 00:00;Centro;Galeazzi;infezioni;6
08/01/2025 00:00;Centro;Galeazzi;problemi respiratori;19
08/01/2025 00:00;Nord;Buzzi;altre cause;8
08/01/2025 00:00;Nord;Buzzi;trauma;1
08/01/2025 00:00;Nord;Buzzi;cardiopatie;3
08/01/2025 00:00;Nord;Buzzi;infezioni;1
08/01/2025 00:00;Nord;Buzzi;problemi respiratori;25
08/01/2025 00:00;Nord;Sacco;altre cause;12
08/01/2025 00:00;Nord;Sacco;trauma;4
08/01/2025 00:00;Nord;Sacco;cardiopatie;4
08/01/2025 00:00;Nord;Sacco;infezioni;2
08/01/2025 00:00;Nord;Sacco;problemi respiratori;23
08/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;11
08/01/2025 00:00;Nord;Istituto dei Tumori;trauma;5
08/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;2
08/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;2
08/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;25
09/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;4
09/01/2025 00:00;Nord;Ospedale Niguarda;trauma;2
09/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;3
09/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;2
09/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;33
09/01/2025 00:00;Est;Policlinico di Milano;altre cause;0
09/01/2025 00:00;Est;Policlinico di Milano;trauma;4
09/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;3
09/01/2025 00:00;Est;Policlinico di Milano;infezioni;4
09/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;35
09/01/2025 00:00;Est;San Raffaele;altre cause;8
09/01/2025 00:00;Est;San Raffaele;trauma;4
09/01/2025 00:00;Est;San Raffaele;cardiopatie;2
09/01/2025 00:00;Est;San Raffaele;infezioni;1
09/01/2025 00:00;Est;San Raffaele;problemi respiratori;35
09/01/2025 00:00;Centro;Humanitas;altre cause;3
09/01/2025 00:00;Centro;Humanitas;trauma;5
09/01/2025 00:00;Centro;Humanitas;cardiopatie;1
09/01/2025 00:00;Centro;Humanitas;infezioni;7
09/01/2025 00:00;Centro;Humanitas;problemi respiratori;20
09/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;8
09/01/2025 00:00;Sud-Ovest;San Paolo;trauma;0
09/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;6
09/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;5
09/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;33
09/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;12
09/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;4
09/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;2
09/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;1
09/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;31
09/01/2025 00:00;Centro;Galeazzi;altre cause;6
09/01/2025 00:00;Centro;Galeazzi;trauma;3
09/01/2025 00:00;Centro;Galeazzi;cardiopatie;1
09/01/2025 00:00;Centro;Galeazzi;infezioni;4
09/01/2025 00:00;Centro;Galeazzi;problemi respiratori;18
09/01/2025 00:00;Nord;Buzzi;altre cause;6
09/01/2025 00:00;Nord;Buzzi;trauma;1
09/01/2025 00:00;Nord;Buzzi;cardiopatie;3
09/01/2025 00:00;Nord;Buzzi;infezioni;1
09/01/2025 00:00;Nord;Buzzi;problemi respiratori;33
09/01/2025 00:00;Nord;Sacco;altre cause;13
09/01/2025 00:00;Nord;Sacco;trauma;3
09/01/2025 00:00;Nord;Sacco;cardiopatie;4
09/01/2025 00:00;Nord;Sacco;infezioni;4
09/01/2025 00:00;Nord;Sacco;problemi respiratori;31
09/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;7
09/01/2025 00:00;Nord;Istituto dei Tumori;trauma;7
09/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;5
09/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;1
09/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;32
10/01/2025 00:00;Nord;Ospedale Niguarda;altre cause;7
10/01/2025 00:00;Nord;Ospedale Niguarda;trauma;2
10/01/2025 00:00;Nord;Ospedale Niguarda;cardiopatie;2
10/01/2025 00:00;Nord;Ospedale Niguarda;infezioni;0
10/01/2025 00:00;Nord;Ospedale Niguarda;problemi respiratori;22
10/01/2025 00:00;Est;Policlinico di Milano;altre cause;4
10/01/2025 00:00;Est;Policlinico di Milano;trauma;3
10/01/2025 00:00;Est;Policlinico di Milano;cardiopatie;5
10/01/2025 00:00;Est;Policlinico di Milano;infezioni;4
10/01/2025 00:00;Est;Policlinico di Milano;problemi respiratori;22
10/01/2025 00:00;Est;San Raffaele;altre cause;8
10/01/2025 00:00;Est;San Raffaele;trauma;4
10/01/2025 00:00;Est;San Raffaele;cardiopatie;2
10/01/2025 00:00;Est;San Raffaele;infezioni;1
10/01/2025 00:00;Est;San Raffaele;problemi respiratori;21
10/01/2025 00:00;Centro;Humanitas;altre cause;5
10/01/2025 00:00;Centro;Humanitas;trauma;5
10/01/2025 00:00;Centro;Humanitas;cardiopatie;1
10/01/2025 00:00;Centro;Humanitas;infezioni;3
10/01/2025 00:00;Centro;Humanitas;problemi respiratori;12
10/01/2025 00:00;Sud-Ovest;San Paolo;altre cause;7
10/01/2025 00:00;Sud-Ovest;San Paolo;trauma;1
10/01/2025 00:00;Sud-Ovest;San Paolo;cardiopatie;3
10/01/2025 00:00;Sud-Ovest;San Paolo;infezioni;1
10/01/2025 00:00;Sud-Ovest;San Paolo;problemi respiratori;21
10/01/2025 00:00;Sud-Ovest;Fatebenefratelli;altre cause;12
10/01/2025 00:00;Sud-Ovest;Fatebenefratelli;trauma;3
10/01/2025 00:00;Sud-Ovest;Fatebenefratelli;cardiopatie;0
10/01/2025 00:00;Sud-Ovest;Fatebenefratelli;infezioni;0
10/01/2025 00:00;Sud-Ovest;Fatebenefratelli;problemi respiratori;21
10/01/2025 00:00;Centro;Galeazzi;altre cause;7
10/01/2025 00:00;Centro;Galeazzi;trauma;3
10/01/2025 00:00;Centro;Galeazzi;cardiopatie;4
10/01/2025 00:00;Centro;Galeazzi;infezioni;3
10/01/2025 00:00;Centro;Galeazzi;problemi respiratori;12
10/01/2025 00:00;Nord;Buzzi;altre cause;7
10/01/2025 00:00;Nord;Buzzi;trauma;4
10/01/2025 00:00;Nord;Buzzi;cardiopatie;3
10/01/2025 00:00;Nord;Buzzi;infezioni;1
10/01/2025 00:00;Nord;Buzzi;problemi respiratori;20
10/01/2025 00:00;Nord;Sacco;altre cause;13
10/01/2025 00:00;Nord;Sacco;trauma;4
10/01/2025 00:00;Nord;Sacco;cardiopatie;4
10/01/2025 00:00;Nord;Sacco;infezioni;1
10/01/2025 00:00;Nord;Sacco;problemi respiratori;21
10/01/2025 00:00;Nord;Istituto dei Tumori;altre cause;7
10/01/2025 00:00;Nord;Istituto dei Tumori;trauma;6
10/01/2025 00:00;Nord;Istituto dei Tumori;cardiopatie;2
10/01/2025 00:00;Nord;Istituto dei Tumori;infezioni;1
10/01/2025 00:00;Nord;Istituto dei Tumori;problemi respiratori;18
